"interpretacion","id_interpretacion","edad","id_usuario","id_escuela","grado","id_palabra"
"confianza","137","14","78","4","3","12"
"confianza","137","null","80","8","3","12"
"confianza","137","null","81","8","3","12"
"confianza","137","15","96","8","3","13"
"conflicto","138","13","30","8","2","14"
"conflicto","138","14","56","4","3","14"
"conflicto con sí mismo","139","null","32","8","2","14"
"confort","140","15","65","4","3","13"
"confusión","141","null","79","8","3","4"
"confusión","141","14","86","8","3","4"
"confusión","141","null","93","8","3","4"
"confusión","141","14","100","8","3","4"
"confusión","141","14","101","8","3","4"
"confusión","141","14","43","4","3","16"
"conocimiento","142","13","24","8","2","16"
"conocimiento","142","14","42","4","3","16"
"conquistantar","143","null","32","8","2","11"
"consecuencia","144","13","12","8","2","5"
"consecuencia","144","13","28","8","2","5"
"consecuencias","145","14","5","8","2","8"
"consecuencias","145","13","28","8","2","8"
"consecuencias","145","14","5","8","2","11"
"consejos","146","null","80","8","3","12"
"consejos","146","null","81","8","3","12"
"consejos","146","14","87","8","3","12"
"consejos","146","null","93","8","3","12"
"consejos","146","15","96","8","3","12"
"consejos","146","14","98","8","3","12"
"consejos","146","14","68","4","3","16"
"consejos","146","16","84","8","3","16"
"consejos","146","14","99","8","3","16"
"consejos","146","14","86","8","3","17"
"consentimiento","147","16","1","8","2","9"
