Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF,SFBool
"novio, novia y afecto",6,8,23,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y amor",5,8,43,15,8,3,1,true,5,0,5622,1,true,6,0.083333333,402,1,11,0.045454545,2775,1.045454545
sexo y confianza,7,9,137,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
sexo y embarazo,6,9,218,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
sexo y amor,4,9,43,15,8,3,1,true,1,0.16637807,15811,1,true,2,0,3,1,3,0.055459357,5272,1.055459357
autoestima y buena,4,10,81,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
autoestima y alta,3,10,32,14,8,3,0,false,0,0,0,1,true,1,0,18,1,1,0,18,1
autoestima y emociones,2,10,222,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
tecnología y celular,5,11,109,15,8,3,0,false,0,0,0,1,true,7,0.001428571,86,1,7,0.001428571,86,1.001428571
tecnología y información,5,11,314,14,8,3,1,true,2,0.05625,1971,1,true,44,0.036969697,2575,1,46,0.037807971,2549,1.037807971
tecnología y videojuegos,5,11,601,15,8,3,0,false,0,0,0,1,true,2,0,380,1,2,0,380,1
padres y apoyo,9,12,51,15,8,3,1,true,1,0,4843,1,true,11,0.012396695,93,1,12,0.011363637,489,1.011363637
padres y consejos,6,12,146,14,8,3,1,true,1,0,4843,1,true,1,0,69,1,2,0,2456,1
padres y castigos,4,12,105,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
hogar y refugio,8,13,499,15,8,3,0,false,0,0,0,1,true,1,0,486,1,1,0,486,1
hogar y familia,7,13,244,15,8,3,1,true,5,0,4564,1,true,71,0.060275288,663,1,76,0.056309809,919,1.056309809
hogar y comodidad,6,13,124,15,8,3,0,false,0,0,0,1,true,15,0.022424243,226,1,15,0.022424243,226,1.022424243
conflictos y golpes,9,14,272,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
conflictos y diálogo,6,14,195,15,8,3,0,false,0,0,0,1,true,3,0.277777778,13812,1,3,0.277777778,13812,1.277777778
conflictos y pelea,4,14,440,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
depresión y suicidio,5,15,556,14,8,3,0,false,0,0,0,1,true,1,-0.1,29,1,1,-0.1,29,0.9
depresión y tristeza,5,15,588,15,8,3,0,false,0,0,0,1,true,4,-0.025,213,1,4,-0.025,213,0.975
depresión y llorar,4,15,339,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y información,6,16,314,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y heterosexual,4,16,292,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y homosexual,3,16,301,14,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
confianza y amigos,18,17,40,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
confianza y papás,7,17,427,15,8,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
confianza y familia,5,17,244,14,8,3,1,true,2,0,2358,1,true,8,-0.045454545,669,1,10,-0.036363636,1007,0.963636364
